CasosMex,Estado,Casos,latitude,longitude
9,CIUDAD DE MÉXICO,1334361,19.431629,-99.127988
15,MÉXICO,463383,19.292120,-99.655780
3,BAJA CALIFORNIA SUR,38080,23.966176,-110.289296
14,JALISCO,155146,20.603130,-103.313815
23,QUINTANA ROO,20211,19.263021,-87.450912
17,MORELOS,44378,18.681305,-99.101349
11,GUANAJUATO,220726,20.947357,-101.427328
26,SONORA,102719,29.096002,-110.932896
21,PUEBLA,149269,19.043013,-98.204977
29,TLAXCALA,42951,19.411296,-98.11990
20,OAXACA,85061,17.080395,-96.698392
31,YUCATÁN,76280,20.400417,-89.134857
2,BAJA CALIFORNIA,59568,30.359350,-115.579880
25,SINALOA,86419,24.740905,-107.505161
16,MICHOACÁN DE OCAMPO,108594,19.586844,-101.172811
27,TABASCO,142179,17.989704,-92.930426
8,CHIHUAHUA,65498,28.632747,-106.115308
4,CAMPECHE,24921,19.389997,-89.923279
7,CHIAPAS,64579,16.772978,-93.165141
1,AGUASCALIENTES,56906,21.859311,-102.285150
5,COAHUILA DE ZARAGOZA,134624,27.462730,-102.308882
19,NUEVO LEÓN,182046,25.672441,-100.313075
30,VERACRUZ DE IGNACIO DE LA LLAVE,147428,19.155633,-96.129107
12,GUERRERO,85338,18.020529,-99.662476
28,TAMAULIPAS,109621,24.641518,-98.201463
32,ZACATECAS,56007,22.727828,-102.565798
24,SAN LUIS POTOSÍ,116490,22.125399,-101.006921
10,DURANGO,69575,24.025455,-104.656817
22,QUERÉTARO,56178,20.577017,-100.413384
6,COLIMA,16229,19.233748,-103.718265
18,NAYARIT,27312,21.511869,-104.896980
13,HIDALGO,63780,20.118316,-98.739542
